trip_id,stop_id,next_stop_id,travel_time,u,v
4_I12-071_2023I12_1_1_4__7_A__,par_4_138,par_4_139,120.0,142,143
4_I12-071_2023I12_1_1_4__7_A__,par_4_139,par_4_140,93.0,143,144
4_I12-071_2023I12_1_1_4__7_A__,par_4_140,par_4_141,94.0,144,145
4_I12-071_2023I12_1_1_4__7_A__,par_4_141,par_4_142,141.0,145,146
4_I12-071_2023I12_1_1_4__7_A__,par_4_142,par_4_143,81.0,146,147
4_I12-071_2023I12_1_1_4__7_A__,par_4_143,par_4_144,62.0,147,148
4_I12-071_2023I12_1_1_4__7_A__,par_4_144,par_4_145,98.0,148,149
4_I12-071_2023I12_1_1_4__7_A__,par_4_145,par_4_146,190.0,149,150
4_I12-071_2023I12_1_1_4__7_A__,par_4_146,par_4_147,147.0,150,151
4_I12-071_2023I12_1_1_4__7_A__,par_4_147,par_4_148,155.0,151,152
4_I12-071_2023I12_1_1_4__7_A__,par_4_148,par_4_149,115.0,152,153
4_I12-071_2023I12_1_1_4__7_A__,par_4_149,par_4_150,85.0,153,154
4_I12-071_2023I12_1_1_4__7_A__,par_4_150,par_4_151,71.0,154,155
4_I12-071_2023I12_1_1_4__7_A__,par_4_151,par_4_152,88.0,155,156
4_I12-071_2023I12_1_1_4__7_A__,par_4_152,par_4_153,91.0,156,157
4_I12-071_2023I12_1_1_4__7_A__,par_4_153,par_4_154,73.0,157,158
4_I12-071_2023I12_2_1_4__7_A__,par_4_154,par_4_153,73.0,158,157
4_I12-071_2023I12_2_1_4__7_A__,par_4_153,par_4_152,91.0,157,156
4_I12-071_2023I12_2_1_4__7_A__,par_4_152,par_4_151,89.0,156,155
4_I12-071_2023I12_2_1_4__7_A__,par_4_151,par_4_150,70.0,155,154
4_I12-071_2023I12_2_1_4__7_A__,par_4_150,par_4_149,86.0,154,153
4_I12-071_2023I12_2_1_4__7_A__,par_4_149,par_4_148,114.0,153,152
